Univ_Code_Key,Univ_Abr_Code,Univ_name,Univ_name2,Univ_Institution_Type,Univ_Member_Since,Univ_Member_Until,Univ_Dept,Univ_Street,Univ_House_Number,Univ_City,Univ_PO_Box,Univ_PO_Zip,Univ_State,Univ_Zip,Univ_Country,Univ_Active,SSMA_TimeStamp,Univ_TimeZone,Univ_Member_Type,Univ_Degree,Univ_Status,Univ_GeoCode,Univ_URL,Univ_Modified
45,CENT,"Centennial College, Toronto",,01,1999,,School of Business,n/a,n/a,Scarborough,"P.O. Box 631, Station A",M1K 5E9,ON,M1K 5E9,CA,-1,000000000001F40B,EST,01,04,01,,http://www.centennialcollege.ca/business,11/5/2010
46,HUMB,"Humber College, Toronto",,02,1998,,School of Applied Technology,Humber College Blvd,205,Toronto,,,ON,M5W 5L7,CA,-1,000000000001F413,EST,01,04,01,,http://www.humber.ca/appliedtechnology,11/5/2010
47,CARL,"Carleton University, Ottawa",,01,1999,20131231,Sprott School of Business,Colonel By Drive,1125,Ottawa,,,ON,K1S 5B6,CA,-1,000000000004C59A,EST,01,05,02,,http://www.sprott.carleton.ca/,1/22/2014
48,MCM,"McMaster University, Hamilton",,01,1999,,DeGroote School of Business,Main St. West,1280,Hamilton,,,ON,L8S 4M4,CA,-1,000000000001F420,EST,01,04,01,,http://www.degroote.mcmaster.ca,11/5/2010
49,ALG,"Algonquin College, Ottawa",,02,2000,,Marketing and Management Studies,Woodroffe Avenue,1385,Ottawa,,,ON,K2G 1V8,CA,-1,0000000000024A2E,EST,01,02,01,,http://www.algonquincollege.ca/business,5/11/2011
50,SHER,"Universit� de Sherbrooke, Quebec",,01,2001,,Departement d'informatique,Universite,2500,Sherbrooke,,,QC,J1K 2R1,CA,-1,000000000001F440,EST,01,05,01,,http://www.usherbrooke.ca,11/5/2010
51,SEN,Seneca College,,02,1999,,Faculty of Business,Finch Avenue East,1750,North York,,,ON,M2J 2X5,CA,-1,000000000001F434,EST,01,02,01,,http://www.senecac.on.ca/school/businessprofile.html,11/5/2010
52,WARW,University of Warwick,,01,2020,,"Warwick Business School, Information Systems Group",Gibbet Hill Road,0,Coventry,,,Warwickshire,CV4 7AL,GB,0,0000000000019F64,,01,04,99,,,6/25/2010
53,CU,City University,,01,2020,2007,"School of Informatics",Northampton Square,0,London,,,England,EC1V 0HB,GB,0,0000000000019F53,,01,04,99,,,6/25/2010
54,CRAN,Cranfield University,,01,2020,2007,,n/a,0,,,,,,GB,0,0000000000019F54,,01,04,99,,,6/25/2010
55,LIVR,University of Liverpool,,01,2020,,"Management School, E-Business Division",Chatham Street,0,Liverpool,,,Merseyside,L69 7ZH,GB,0,0000000000019F60,,01,04,99,,,6/25/2010
56,COVU,Coventry University,,01,2020,2007,,n/a,0,,,,,,GB,0,0000000000019F52,,01,04,99,,,6/25/2010
57,BRUN,Brunel University,,01,2020,2007,Information Systems and Computing,Kingston Lane,0,Uxbridge,,,Middlesex,UB8 3PH,GB,0,0000000000019F50,,01,04,99,,,6/25/2010
58,SHEF,Sheffield Hallam University,,01,2020,,"Faculty of Arts, Computing, Engineering & Sciences",Howard Street,0,Sheffield,,,South Yorkshire,S1 1WB,GB,0,0000000000019F5C,,01,04,99,,,6/25/2010
59,LANC,Lancaster University,,01,2020,2007,Department of Management Science,Bailrigg,0,Lancaster,,,Lancashire,LA1 4YW,GB,0,0000000000019F56,,01,04,99,,,6/25/2010
60,CLAN,University of Central Lancashire,,01,2020,,Information and Finance,"Greenbank Building, Victoria Street",0,Preston,,,Lancashire,PR1 2HE,GB,0,0000000000019F5F,,01,04,99,,,6/25/2010
61,LOUG,Loughborough University,,01,2020,2007,,n/a,0,,,,,,GB,0,0000000000019F57,,01,04,99,,,6/25/2010
62,GLAS,Glasgow Caledonian University,,01,2020,2007,,n/a,0,,,,,,GB,0,0000000000019F55,,01,04,99,,,6/25/2010
63,WEST,University of Westminster,,01,2020,,Westminster Business School,35 Marylebone Road,35,London,,,England,NW1 5LS,GB,0,0000000000019F65,,01,04,99,,,6/25/2010
64,STRA,University of Strathclyde,,01,2020,,Department of Management Science,George Street,40,Glasgow,,,Scotland,G1 1QE,GB,0,0000000000019F62,,01,04,99,,,6/25/2010
66,ARIZ,University of Arizona,,01,2007,2009,Eller College of Management,"E. Helen Street, Rm. 430",1130,Tucson,,,AZ,85721,US,-1,000000000001F447,MST,01,05,02,,http://www.eller.arizona.edu,11/5/2010
67,LSSU,Lake Superior State University,,01,2007,20111231,"School of Business, Economics, and Legal Studies",W. Easterday Avenue,650,Sault Ste. Marie,,,MI,49783,US,-1,000000000002CC15,EST,01,04,02,,http://www.lssu.edu/business,1/20/2012
68,RUTG,Rutgers University,,01,1999,,Rutgers Business School,Washington Street,111,Newark,,,NJ,07102,US,-1,000000000002C76B,EST,01,05,01,,http://www.business.rutgers.edu,1/2/2012
69,UNH,University of New Haven,,01,2007,,College of Business,Boston Post Road,300,West Haven,,,CT,06516,US,-1,000000000001F450,EST,01,04,01,,http://www.newhaven.edu/7,11/5/2010
70,TCU,Texas Christian University,,01,2007,,Information Systems and Supply Chain Management,Lubbock Street,2900,Fort Worth,PO Box 298530,76129,TX,76109,US,-1,000000000001F43E,CST,01,05,01,,http://www.neeley.tcu.edu,11/5/2010
71,MU,Marquette University,,01,20130901,,Business Administration/Dept. of Accounting,W. Wisconsin Avenue,1250,Milwaukee,PO Box 1881,53201,WI,53233,US,-1,00000000000482AE,CST,01,05,01,,http://www.business.marquette.edu,9/13/2013
72,LEHI,Lehigh University,,01,2007,,College of Business and Economics,Taylor Street,621,Bethlehem,,,PA,18015,US,-1,000000000001F41C,EST,01,05,01,,http://www.lehigh.edu/business,11/5/2010
73,FLEM,Fleming College,,02,20070601,,School of Business,Brealey Drive,599,Petersborough,,,ON,K9J 7B1,CA,-1,000000000001FD86,,01,04,01,,http://www.flemingc.on.ca/index.cfm/go/school/sub/busn.cfm,11/29/2010
74,BCIT,British Columbia Institute of Technology,,01,1999,,Supply Management,Willingdon Avenue,3700,Burnaby,,,BC,V5G 3H2,CA,-1,000000000001F403,PST,01,05,01,,http://www.bcit.ca,11/4/2010
75,SUFF,Suffolk University,,01,2007,,Sawyer Business School,Ashburton Place,8,Boston,,,MA,02108,US,-1,000000000001F43A,EST,01,04,01,,http://www.suffolk.edu/business,11/5/2010
82,BWLG,Bowling Green State University,,01,2007,,College of Business Administration,Business Administration Building,371,Bowling Green,,,OH,43403,US,-1,000000000001F402,EST,01,05,01,,http://www.business.bgsu.edu/cba/index.html,11/4/2010
